State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Almond(Badam),Dry Fruits,2.0,14000,15000,14500,2019-01-15
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,3.5,5800,6800,6600,2003-01-21
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,2.5,9500,10500,10000,2003-01-23
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,3.0,5800,6800,6300,2003-01-24
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,2.0,9000,10000,9700,2003-01-29
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,5.0,9000,10000,9700,2003-01-31
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,9.0,9200,10200,10000,2003-02-01
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,9.0,5500,6500,6000,2003-02-01
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,4.0,9500,10500,10000,2003-02-04
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,3.0,9500,10500,10000,2003-02-05
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,5.5,9500,10500,10000,2003-02-06
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,2.0,9600,10600,10100,2003-02-07
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,6.0,9500,10500,10000,2003-02-25
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,8.0,9500,10500,10000,2003-02-26
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,3.0,9600,10600,10000,2003-02-27
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,4.0,9600,10600,10100,2003-02-28
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,8.0,9500,10500,10000,2003-03-03
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,10.0,8500,9500,9000,2003-10-09
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,28.0,9000,10000,9500,2003-10-13
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Other,Dry Fruits,35.0,8000,9000,8500,2003-10-14
