State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Andhra Pradesh,Vijayanagaram,Bobbili,Other,Forest Products,0.0,200,500,350,2005-07-27
Telangana,Nalgonda,Bhongir,Other,Forest Products,3.33,550,550,550,2006-01-07
Telangana,Nalgonda,Bhongir,Other,Forest Products,2.0,550,550,550,2006-01-09
Telangana,Nalgonda,Bhongir,Other,Forest Products,4.33,550,550,550,2006-01-10
Telangana,Nalgonda,Bhongir,Other,Forest Products,2.66,550,550,550,2006-01-12
Telangana,Nalgonda,Bhongir,Other,Forest Products,3.33,570,570,570,2006-01-17
Telangana,Nalgonda,Bhongir,Other,Forest Products,1.66,550,550,550,2006-01-18
Telangana,Nalgonda,Bhongir,Other,Forest Products,1.0,550,550,550,2006-01-19
Telangana,Nalgonda,Bhongir,Other,Forest Products,3.33,550,550,550,2006-01-20
Telangana,Nalgonda,Bhongir,Other,Forest Products,2.0,550,550,550,2006-01-28
Telangana,Nalgonda,Bhongir,Other,Forest Products,1.66,530,530,530,2006-01-30
Telangana,Nalgonda,Bhongir,Other,Forest Products,1.33,550,550,550,2006-01-31
Telangana,Nalgonda,Bhongir,Other,Forest Products,3.33,550,550,550,2006-02-01
Telangana,Nalgonda,Bhongir,Other,Forest Products,3.33,550,550,550,2006-02-03
Telangana,Nalgonda,Bhongir,Other,Forest Products,6.66,550,550,550,2006-02-07
Telangana,Nalgonda,Bhongir,Other,Forest Products,1.66,550,550,550,2006-02-08
Telangana,Nalgonda,Bhongir,Other,Forest Products,6.66,550,550,550,2006-02-10
Telangana,Medak,Zaheerabad,Other,Forest Products,6.66,611,611,611,2005-12-29
Telangana,Medak,Zaheerabad,Other,Forest Products,6.66,615,615,615,2006-01-24
Telangana,Medak,Zaheerabad,Other,Forest Products,0.2,775,775,775,2006-12-16
Telangana,Medak,Zaheerabad,Other,Forest Products,0.1,820,820,820,2006-12-30
Telangana,Medak,Zaheerabad,Other,Forest Products,0.2,825,850,837,2007-03-01
Telangana,Medak,Zaheerabad,Other,Forest Products,0.2,980,980,980,2007-12-24
Telangana,Medak,Jogipet,Other,Forest Products,6.33,560,700,630,2006-01-31
Telangana,Mahbubnagar,Nagarkurnool,Other,Forest Products,0.1,4000,4000,4000,2013-01-18
Telangana,Mahbubnagar,Nagarkurnool,Other,Forest Products,0.1,4001,4001,4001,2013-01-29
Telangana,Mahbubnagar,Nagarkurnool,Other,Forest Products,0.2,4155,4155,4155,2014-01-29
Telangana,Mahbubnagar,Nagarkurnool,Other,Forest Products,0.3,3519,4059,3769,2014-02-17
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,500,500,500,2004-05-22
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,30.0,612,612,612,2004-12-30
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,8.0,580,593,593,2005-01-03
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,11.0,530,561,550,2005-01-05
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,3.0,889,889,889,2005-01-07
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,8.0,502,850,830,2005-01-11
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,5.0,535,535,535,2005-01-18
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,3.0,503,503,503,2005-03-15
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,501,501,501,2005-03-22
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,710,710,710,2005-03-29
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,2.0,515,515,515,2005-04-01
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,8.0,500,500,500,2005-04-20
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,653,653,653,2005-05-17
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,2.0,700,700,700,2005-07-07
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,1436,1546,1436,2006-01-17
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,3.33,1501,1546,1511,2006-01-18
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,6.66,490,490,490,2006-02-10
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,6.66,770,770,770,2006-02-17
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.3,515,515,515,2006-12-18
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.1,528,528,528,2006-12-26
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.0,541,578,578,2006-12-29
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,1.5,575,611,575,2007-01-11
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.2,633,786,751,2007-01-24
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.2,655,655,655,2007-02-05
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,6.0,1100,1100,1100,2011-01-10
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.3,1340,1801,1342,2012-01-10
Telangana,Mahbubnagar,Badepalli,Other,Forest Products,0.2,1870,1870,1870,2014-03-24
Madhya Pradesh,Tikamgarh,Tikamgarh,Other,Forest Products,17.75,500,500,500,2003-02-07
Madhya Pradesh,Tikamgarh,Tikamgarh,Other,Forest Products,102.1,505,525,515,2003-02-14
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,5.0,1200,1210,1205,2005-04-11
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,3.02,1200,1225,1210,2005-04-28
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,4.02,1175,1200,1180,2005-05-15
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,7.3,1301,1310,1305,2005-06-18
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,2.8,1300,1315,1310,2005-06-21
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,4.6,1200,1210,1205,2005-06-27
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,3.6,1175,1200,1185,2005-07-02
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,7.9,1710,1720,1715,2007-02-06
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,17.0,1850,1900,1860,2007-02-20
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,12.9,1700,1710,1710,2007-03-22
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,7.5,1000,1010,1010,2007-04-17
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,12.8,1725,1725,1725,2007-06-23
Madhya Pradesh,Mandla,Mandla,Other,Forest Products,10.0,1750,1760,1760,2007-07-12
Madhya Pradesh,Sidhi,Sidhi,Other,Forest Products,28.2,1500,1525,1510,2023-03-22
Madhya Pradesh,Sidhi,Sidhi,Ambada Seed,Forest Products,75.0,1500,1600,1600,2023-05-03
Madhya Pradesh,Singroli,Singroli,Other,Forest Products,2.0,2000,2000,2000,2023-04-14
Madhya Pradesh,Singroli,Singroli,Other,Forest Products,32.0,2500,2500,2500,2023-06-01
Madhya Pradesh,Singroli,Singroli,Other,Forest Products,4.5,4000,4000,4000,2023-06-21
Madhya Pradesh,Singroli,Singroli,Other,Forest Products,22.0,2500,2500,2500,2023-06-29
Madhya Pradesh,Singroli,Singroli,Ambada Seed,Forest Products,20.0,2000,2000,2000,2023-08-05
Madhya Pradesh,Singroli,Singroli,Ambada Seed,Forest Products,20.0,2000,2000,2000,2023-10-02
Haryana,Ambala,Mullana,Other,Forest Products,1.0,600,700,650,2008-06-19
Gujarat,Panchmahals,Godhra,Other,Forest Products,30.0,1200,1300,1250,2012-10-01
Gujarat,Surat,Songadh,Other,Forest Products,0.3,5450,5450,5450,2015-05-30
Gujarat,Surat,Songadh,Other,Forest Products,5.0,1190,1390,1245,2015-11-01
Gujarat,Surat,Songadh,Other,Forest Products,1.1,1180,1285,1232,2015-11-17
Gujarat,Surat,Songadh,Other,Forest Products,0.1,1955,1955,1955,2015-12-24
Gujarat,Surat,Songadh,Other,Forest Products,0.1,2105,2223,2175,2015-12-31
Gujarat,Surat,Songadh,Other,Forest Products,0.2,2125,2125,2125,2016-01-08
Gujarat,Surat,Songadh,Other,Forest Products,0.3,2105,2105,2105,2016-01-09
Gujarat,Surat,Songadh,Other,Forest Products,0.1,2200,2200,2200,2016-02-26
Gujarat,Surat,Songadh,Other,Forest Products,18.7,1360,1470,1415,2016-10-21
Gujarat,Surat,Songadh,Other,Forest Products,11.0,1325,1525,1425,2016-12-26
Gujarat,Surat,Songadh,Other,Forest Products,0.1,1680,1680,1680,2017-01-04
Gujarat,Surat,Songadh,Other,Forest Products,0.1,1575,1575,1575,2017-01-27
Gujarat,Surat,Songadh,Other,Forest Products,6.1,1395,1480,1437,2017-02-07
Gujarat,Surat,Songadh,Other,Forest Products,2.1,1480,1500,1490,2017-09-09
Gujarat,Surat,Songadh,Other,Forest Products,4.2,1350,1555,1452,2017-10-03
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,0.1,1505,1505,1505,2018-01-27
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,2.5,1490,1595,1547,2018-09-20
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,3.4,1530,1580,1555,2018-09-25
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,53.4,1630,1756,1723,2018-10-25
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,70.3,1678,1765,1734,2018-10-31
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,0.1,1750,1845,1790,2018-11-17
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,1.8,1710,1723,1716,2019-07-18
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,0.5,1675,1675,1675,2019-07-21
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,2.1,1695,1745,1720,2019-07-24
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,0.9,1700,1700,1700,2019-07-26
Gujarat,Surat,Songadh,Ambada Seed,Forest Products,1.5,1720,1740,1730,2019-08-09
