State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Umariya,Umariya,Other,Forest Products,21.0,2900,3100,3000,2013-10-23
Madhya Pradesh,Umariya,Umariya,Other,Forest Products,2.0,1600,1700,1650,2013-10-24
Madhya Pradesh,Dindori,Dindori,Other,Forest Products,3.0,2800,3000,2900,2013-05-03
Madhya Pradesh,Dindori,Dindori,Other,Forest Products,1.5,2300,2500,2400,2014-02-11
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,6.12,4000,4000,4000,2017-12-05
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1.0,4000,4000,4000,2017-12-09
Madhya Pradesh,Dindori,Dindori,Other,Forest Products,3.18,4000,4000,4000,2017-12-26
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1.0,4000,4000,4000,2017-12-29
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1.47,4000,4000,4000,2018-02-07
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1.0,8000,8000,8000,2018-02-27
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,2018-03-12
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,2018-03-13
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,3.2,6000,6000,6000,2018-04-27
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,4.36,7000,7000,7000,2018-05-11
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.5,8000,8000,8000,2018-05-26
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,3.0,5000,5000,5000,2018-10-28
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,18.6,4000,4000,4000,2018-12-31
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,0.5,3000,3000,3000,2019-03-31
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,4.5,3000,3000,3000,2019-04-06
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,8.64,5000,5001,5001,2022-07-19
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,0.6,5000,5000,5000,2022-09-23
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.5,6000,6000,6000,2022-12-24
